iter	RMSE
0	1.116433224
1	1.078368592
2	1.042540939
3	1.0107791
4	0.9802688457
5	0.9527836815
6	0.9279215424
7	0.9034744272
8	0.8812062726
9	0.8605011628
10	0.8410318264
11	0.8247088179
12	0.8090738249
13	0.7954808146
14	0.7798053846
15	0.7662897173
16	0.7512504092
17	0.7410670152
18	0.731814266
19	0.7227617725
20	0.7146338446
21	0.7070685748
22	0.6974884078
23	0.689550168
24	0.682218309
25	0.6755542314
26	0.6692141469
27	0.6629688312
28	0.6554292655
29	0.6476591417
30	0.6430587127
31	0.6388354192
32	0.6333293221
33	0.6294582302
34	0.6256553483
35	0.6202140112
36	0.6153482061
37	0.6126344886
38	0.6098436075
39	0.6052342617
40	0.6025806081
41	0.5984253894
42	0.5965019257
43	0.593018492
44	0.5907737799
45	0.588477605
46	0.5850130905
47	0.5819528019
48	0.5806495772
49	0.5789474795
50	0.5756941654
51	0.5733026886
52	0.5714501155
53	0.5689710257
54	0.5658110143
55	0.5631462133
56	0.5617723369
57	0.5599944231
58	0.5576732971
59	0.5566239157
60	0.5550795255
61	0.553525263
62	0.5522815769
63	0.5507796679
64	0.5499733071
65	0.54862203
66	0.5475535125
67	0.5463418625
68	0.5454626846
69	0.5445645511
70	0.5432237818
71	0.5421880769
72	0.5414768282
73	0.540450711
74	0.5397964733
75	0.5388609791
76	0.5382845914
77	0.5375301995
78	0.5364727457
79	0.5351737875
80	0.5340324801
81	0.5333198608
82	0.532149721
83	0.5314532295
84	0.5307405295
85	0.5299973289
86	0.5296596804
87	0.5281821132
88	0.5266664081
89	0.5260876265
90	0.5250351988
91	0.5245313011
92	0.5239434407
93	0.523464811
94	0.5224823245
95	0.5214659182
96	0.5206951404
97	0.5201216954
98	0.5194829915
99	0.5187052163
100	0.5180236031
101	0.5174472681
102	0.5165888007
103	0.5160244106
104	0.5155787871
105	0.5150227011
106	0.5144490608
107	0.5140952979
108	0.5133604885
109	0.512654615
110	0.5116497395
111	0.5109235616
112	0.5101161077
113	0.5097376485
114	0.5091987042
115	0.5085784434
116	0.5081663819
117	0.5072538936
118	0.5067187607
119	0.5063070744
120	0.5057444496
121	0.5051930974
122	0.5045570577
123	0.5039928703
124	0.5033776101
125	0.5027294269
126	0.501874098
127	0.5013704422
128	0.5007486632
129	0.5001982858
130	0.4997237802
131	0.4992841137
132	0.4988841983
133	0.4983879675
134	0.4976123556
135	0.4971133371
136	0.4967598545
137	0.4963932869
138	0.4959842913
139	0.4954831871
140	0.4949753005
141	0.4945268805
142	0.4938746175
143	0.4934408546
144	0.4931398852
145	0.4921565455
146	0.4916434915
147	0.4906942557
148	0.4903880936
149	0.4898141837
150	0.4893254926
151	0.4890718601
152	0.4886370364
153	0.4881684931
154	0.487526863
155	0.4869613632
156	0.4863412053
157	0.4857862471
158	0.4853830656
159	0.4851030545
160	0.4845964924
161	0.4842909118
162	0.4837283845
163	0.4834205792
164	0.4827879151
165	0.482343774
166	0.4818604979
167	0.4814765325
168	0.4809684121
169	0.4806173283
170	0.4803122779
171	0.4797643442
172	0.479425608
173	0.4790653082
174	0.4786212215
175	0.4781961604
176	0.4778776097
177	0.4772086871
178	0.4766484556
179	0.4761635458
180	0.4757895842
181	0.4753232469
182	0.475123165
183	0.4746022441
184	0.4742308668
185	0.4736447005
186	0.4732036995
187	0.4727679937
