iter	Passed	Remaining
0	146	146399
1	155	77750
2	164	54754
3	173	43288
4	182	36356
5	191	31723
6	200	28392
7	207	25669
8	212	23430
9	217	21577
10	223	20067
11	226	18669
12	230	17528
13	234	16518
14	237	15609
15	240	14785
16	243	14064
17	245	13416
18	248	12828
19	251	12300
20	253	11823
21	256	11404
22	259	11036
23	263	10695
24	265	10371
25	268	10074
26	272	9813
27	275	9558
28	278	9320
29	281	9092
30	284	8881
31	287	8688
32	290	8509
33	293	8342
34	296	8174
35	299	8018
36	302	7873
37	305	7734
38	308	7600
39	311	7472
40	314	7354
41	317	7250
42	321	7153
43	324	7050
44	327	6949
45	330	6852
46	333	6770
47	337	6696
48	341	6627
49	345	6556
50	348	6482
51	351	6411
52	354	6339
53	358	6276
54	361	6207
55	364	6149
56	367	6087
57	371	6029
58	374	5975
59	378	5933
60	382	5889
61	386	5840
62	389	5790
63	392	5742
64	396	5698
65	399	5651
66	402	5609
67	406	5567
68	409	5530
69	413	5492
70	416	5454
71	420	5417
72	423	5379
73	428	5357
74	432	5336
75	436	5306
76	439	5273
77	443	5243
78	447	5212
79	450	5185
80	454	5156
81	457	5126
82	461	5096
83	464	5068
84	468	5040
85	472	5021
86	475	4993
87	479	4971
88	483	4944
89	486	4920
90	490	4894
91	493	4869
92	496	4845
93	500	4822
94	504	4802
95	507	4779
96	511	4757
97	514	4734
98	518	4718
99	522	4698
100	525	4677
101	529	4657
102	532	4639
103	536	4619
104	539	4599
105	543	4580
106	546	4561
107	549	4541
108	553	4523
109	557	4507
110	560	4489
111	564	4474
112	567	4457
113	571	4440
114	574	4424
115	578	4410
116	582	4395
117	586	4381
118	590	4369
119	594	4357
120	597	4344
121	602	4333
122	606	4325
123	610	4314
124	614	4300
125	617	4285
126	621	4271
127	625	4261
128	629	4248
129	633	4237
130	636	4224
131	640	4212
132	644	4199
133	647	4185
134	651	4173
135	655	4164
136	659	4152
137	662	4140
138	666	4126
139	669	4113
140	673	4103
141	677	4091
142	680	4079
143	684	4067
144	687	4056
145	691	4047
146	695	4037
147	699	4029
148	703	4019
149	707	4008
150	711	3998
151	714	3986
152	718	3979
153	723	3973
154	727	3965
155	731	3958
156	735	3951
157	740	3943
158	743	3934
159	748	3928
160	752	3923
161	757	3916
162	761	3909
163	765	3904
164	770	3901
165	775	3895
166	780	3894
167	785	3891
168	790	3886
169	795	3881
170	800	3878
171	804	3874
172	810	3872
173	814	3867
174	819	3862
175	823	3856
176	828	3853
177	833	3848
178	838	3845
179	843	3842
180	848	3837
181	853	3836
182	858	3832
183	863	3828
184	868	3824
185	872	3819
186	877	3814
187	882	3812
188	887	3810
189	892	3805
190	897	3802
191	902	3797
192	906	3792
193	911	3788
194	916	3784
195	921	3779
196	926	3775
197	931	3772
198	936	3768
199	941	3764
200	946	3762
201	951	3759
202	957	3757
203	961	3753
204	967	3750
205	972	3747
206	977	3745
207	982	3741
208	988	3740
